id	bank_ch	site_ch	status	keyed	keyed_text	best	best_text	source	note	question
211	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	High			FAA AIM 8-1 (featureless terrain: illusion of greater height)		When making a landing over a darkened or featureless terrain, such as water or snow pilot should be aware of the possibility of illusion. This approach may appear to be
212	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	Farther from the runway than actually is			FAA AIM 8-1 (haze: greater distance)		Haze can give illusion that the aircraft is
213	ar-10	ar-22, ar-25, ar-26	VERIFIED	A	Pitching up			FAA AIM 8-1 (fog: pitching up)		A sudden penetration of fog can give an illusion of
214	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	Higher than usual			FAA AIM 8-1 (rain: greater height)		Rain on the wind screen can cause what illusion
215	ar-9	ar-13	VERIFIED	A	15			Aircraft Rules r.25A(2)(h) (15 m)		No authorized person must be present within ______ mts of a/c while refueling is on
216	ar-9	ar-13	CORRECTED (proposed, not applied)	A	4 hrs	B	2 hrs	CAR Sec 7 Series J Pt III 16.1 (unforeseen circumstances: FDP extended by maximum of 02 hours)	keyed A (4 h) is outdated	The maximum duty time limit per day extension is
217	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	Read and interpret the flight instruments, and act accordingly.			FAA AIM 8-1		How can an instrument Pilot best overcome spatial disorientation?
218	ar-5	ar-5, ar-6, ar-8	FLAGGED	C	5 mins	C	5 mins	Doc 4444 5.3.4 / 5.4 read: no "5 minutes lateral separation" for holding exists	time is a longitudinal measure, not lateral; question malformed. Same as #308	The lateral separation reqd. if an A/C is holding at a level
219	ar-7	ar-9, ar-11	VERIFIED	B	Green			CAR Sec 4 Series B Pt I 5.3.10.9 (threshold and wing bar lights fixed unidirectional green)		Threshold lights are
220	ar-13	ar-18	CORRECTED (proposed, not applied)	B	Met Info	A	ETA	Doc 4444 4.12.2 (Section 2 = Operational information: ETA and endurance)	keyed B (Met info) is Section 3	The 2nd section of an air report contains
221	ar-6	ar-4	VERIFIED	B	90º			Doc 4444 9.1.4.2.2.2 (cross at an angle of 90°)		Crossing of an ATS route should be at angle of:
222	ar-7	ar-9, ar-11	VERIFIED	D	AIP			AIP India AD section		Information about facilities on an aerodrome is found in
223	ar-6	ar-4	VERIFIED	A	Surface of earth to a specified upper limit			Annex 2 def. Control zone		Control Zone is from
224	ar-6	ar-4	VERIFIED	B	Rocking Wings			Annex 2 App 1 3.2 (by day: rocking wings)		If an a/c has R/T failure then it will acknowledge signals from the ATC during day by
225	ar-9	ar-13	FLAGGED	C	5700 kgs			CAR Sec 8 Series O Pt II 6.10 (all aeroplanes operated at night shall have anti-collision lights)	no current "above 5700 kg" rule found; outdated	Anti-collision lights are required on aircraft above
226	ar-9	ar-13	FLAGGED	A	20 mins	A	20 mins	Aircraft Rules Sch. II para 4: night = half an hour after sunset to half an hour before sunrise	keyed 20 min matches the AIP night-VFR rule, not the logging definition; no 30-min option	Night flying hours can be logged between __________ mins after sunset to ________ mins before sunrise:
227	ar-2	ar-2, ar-14, ar-15	VERIFIED	A	50			Aircraft Rules Sch. II, CPL renewal ("Fifty percent of flight time as Co-Pilot may be counted towards ... Pilot-in-Command")		The percentage of Co-pilot flying to be counted towards the renewal of CPL as PIC is ______ %:
228	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	Body signal are used to interpret flight attitude.			FAA AIM 8-1		A Pilot is more subject to spatial disorientation?
229	ar-5	ar-5, ar-6, ar-8	FLAGGED	A	2000’	A	2000’	Doc 4444 5.3.2	2000 ft is correct only outside RVSM; in RVSM FL290-410 it is 1000 ft. Stem does not say	The Min. Separation above F 290 is:
230	ar-9	ar-13	VERIFIED	B	24			Aircraft (Investigation of Accidents and Incidents) Rules 2025 r.4(1) (24 hours)		An aircraft accident has to be informed to the DGCA with in ____ hrs
231	ar-8	ar-19, ar-21	VERIFIED	C	5 mins			CAR Sec 9 Series E Pt I 5.2.1 b) 2) (cleared to land, fails to land within five minutes)		The alert phase starts when an A/C cleared to land; fails to land within _____ of estimated time of landing:
232	ar-10	ar-22, ar-25, ar-26	VERIFIED	C	Rely on the indications of the flight instruments.			FAA AIM 8-1		Which procedure is recommended to prevent or overcome spatial disorientation?
233	ar-2	ar-2, ar-14, ar-15	VERIFIED	C	5			as #97		Log books of flight crew personnel shall be preserved for not less than ___ year’s last entry.
234	ar-6	ar-4	VERIFIED	C	Class D			AIP India ENR 1.4 Class D		In which class of airspace does ATC provide separation for IFR traffic from all other IFR traffic, but relies on VFR traffic to provide its own separation from all other traffic?
235	ar-10	ar-22, ar-25, ar-26	VERIFIED	B	Consciously breathe at a slower rate than normal			FAA AIM 8-1		What action should be taken if hyperventilation is suspected?
236	ar-9	ar-13	VERIFIED	D	15 NM			Captain ATS notes ("All aircraft are forbidden to operate within 15 NM of the international border of India unless specifically permitted")	primary regulation not located in AIP/CARs searched	No scheduled flight carrying passengers is permitted to fly with in ___ NM of International Border:
237	ar-7	ar-9, ar-11	VERIFIED	B	2 thick white lines close to and parallel to runway centreline			CAR Sec 4 Series B Pt I 5.2.5.4 (aiming point: two conspicuous stripes; runway markings white)		How would you regonise an aiming point marking on a runway?
238	ar-7	ar-9, ar-11	VERIFIED	D	Any colour which contrasts with the aircraft stand markings			CAR Sec 4 Series B Pt I 5.2.1.6 (apron safety lines contrast with stand markings)		On a normal aerodrome, what colour should apron safety lines be painted?
239	ar-7	ar-9, ar-11	VERIFIED	C	i) blue ii) white			CAR Sec 4 Series B Pt I 5.3.18.7 (taxiway edge lights blue); runway edge white		What colour are (i) taxiway edge lights and (ii) runway edge lights?
240	ar-4	ar-7, ar-12	VERIFIED	B	3 red lights inboard of 1 white light			CAR Sec 4 Series B Pt I 5.3.5 (below slope: three units nearest runway red, farthest white)		What lights will a pilot see from the PAPI system if he is slightly low on the instrument approach glide slope? Inboard means closer to the runway.
241	ar-7	ar-9, ar-11	VERIFIED	B	The writing will be white on a red background			CAR Sec 4 Series B Pt I 5.4.2.12 (mandatory sign: white on red)		How can a pilot determine from a distance that an aerodrome sign contains mandatory instructions?
242	ar-3	ar-3	VERIFIED	D	Maintain heading and speed only			Annex 2 3.2.1 / 3.2.2 (right of way aircraft maintains heading and speed)		The pilot of an aircraft which has the right of way must do certain things to reduce the risk of collision. Apart from monitoring the other aircraft’ actions, what else must he do?
243	ar-8	ar-19, ar-21	VERIFIED	D	A passenger suffers second degree burns from a loose gallery kettle			Aircraft (Investigation of Accidents and Incidents) Rules 2025 r.2 (serious injury includes second- or third-degree burns; injuries inflicted by other persons excluded from accident)		Which of the following occurrences to an aircraft in flight should be considered an aviation accident?
244	ar-8	ar-19, ar-21	VERIFIED	C	The pilot takes avoiding action to prevent a near collision			Aircraft (Investigation of Accidents and Incidents) Rules 2025, serious incidents (a) near collisions requiring an avoidance manoeuvre		Which of the following occurrences to an aircraft in flight should be considered a serious incident?
245	ar-9	ar-13	CORRECTED (proposed, not applied)	D	7	B	5	Aircraft Rules r.38B(1)(iii)	215 seats: 2 + ceil((215-99)/50) = 2+3 = 5. Keyed D (7) wrong; #394 (same question) already keys 5	For an aircraft having seating capacity of 215 passengers, number of cabin attendants required is_____.
246	ar-8	ar-19, ar-21	VERIFIED	B	Rock wings			Captain SAR notes (acknowledge by rocking wings by day)		If pilot sees the symbol ‘X’ during SAR operations, how can he tell the survivor that he understands the message?
247	ar-6	ar-4	VERIFIED	A	1500 meters			AIP India ENR 1.2 §1 (1500 m horizontal)		What is the minimum horizontal distance which an aeroplane must stay away from cloud in Class D airspace at 2000 feet in order to fly under VFR?
248	ar-8	ar-19, ar-21	VERIFIED	C	The alert phase			as #43		What is correctly defined as “A situation wherein apprension exits as to the safety of an aircraft and its occupants?
249	ar-8	ar-19, ar-21	VERIFIED	B	7500			as #12		What mode A transponder setting means an aircraft is suffering unlawful interference?
250	ar-3	ar-3	VERIFIED	B	land at nearest aerodrome			as #437	"land at nearest aerodrome" = land as soon as it can safely do so	44 If navigation lights fail the action of the pilot is
251	ar-9	ar-13	CORRECTED (proposed, not applied)	B	5	D	14	Aircraft (Public Health) Rules 1954 r.2(15) ("Typhus 14 days")	keyed B (5 days) is wrong; #423 already keys 14 days	Incubation period for typhus is_________ days:
252	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	Altitude			AIP India ENR 1.7 §2.1.2 (descending through transition layer: altitude)		An A/C descending through the transition layer will report its height in
253	ar-9	ar-13	VERIFIED	A	DM/ Commissioner of Police			Aircraft Rules r.26 (DM or Commissioner of Police)		Publicity material can be dropped from an A/C if it has the permission of
254	ar-9	ar-13	CORRECTED (proposed, not applied)	D	With in a radius of 10 Nms	B	With in a radius of 10 km	Aircraft Rules Sch. I (4) "radius of ten kilometers"; AIP ENR 5.1 "10KM radius"	keyed D (10 NM) is wrong; #51 keys 10 km correctly	Prohibition of flights over Mathura refinery is:
255	ar-9	ar-13	VERIFIED	C	Flashing Red			14 CFR 25.1401(c) (flashing 40-100 cycles/min); CAR Sec 9 Series C Pt I 3.2.3 (red anti-collision lights)		Anti collision lights are _________ lights
256	ar-3	ar-3	VERIFIED	D	Gliders shall give way to balloons.			Annex 2 3.2.2.3 c)		When two aircraft are converging at approximately the same altitude, which statement applies?
257	ar-6	ar-4	VERIFIED	C	Taxi onto the runway and takeoff in one continuous movement.			Doc 4444 7.9.3.4 (taxi out and take off in one continuous movement)		When a clearance for an “immediate take-off” is accepted, the pilot shall
258	ar-13	ar-18	VERIFIED	A	MAYDAY, MAYDAY, MAYDAY.			Annex 10 Vol II / Doc 9432 (MAYDAY)		The radiotelephone distress signal to indicate grave and /or imminent danger requiring immediate assistance is
259	ar-13	ar-18	FLAGGED	C	3hrs 05minutes.	C	3hrs 05minutes.	Doc 4444 App 2 Item 16	ICAO EET excludes stopovers (separate flight plans); keyed answer adds the 30-min stop	Estimated elapsed time A to B 1hr 15minutes. Estimated stopover time at B 30 minutes. Estimated elapsed time B to C 1 hr 20 minutes Using the above information, what time should be entered in the “Elapsed Time “ BOX OF VFR flight plan ?
260	ar-2	ar-2, ar-14, ar-15	VERIFIED	C	50 hrs			Aircraft Rules Sch. II, CPL (A) with IR 1(e)(iii) (not less than fifty hours cross-country as PIC)		Minimum cross-country hours required for an Instrument Rating are:
261	ar-9	ar-13	VERIFIED	A	AUW			AAI charges schedule (RNFC = R x D x W, W = sqrt(AUW/50000)); AIC 35/2020		The route navigation charges are on the basis of:
262	ar-9	ar-13	VERIFIED	B	900			Aircraft Rules r.3(41) (900 litres)		Petroleum in bulk is petroleum in receptacle, which exceeds _______________lts
263	ar-9	ar-13	FLAGGED	C	1994	C	1994	DGCA rules list (Sept 2026): Aircraft (Demolition of Obstructions caused by Buildings and Trees etc.) Rules, 2026	1994 was the year of the original Rules; they have been replaced by 2026 Rules - reword the question	The demolition of buildings and trees act came into effect in the year:
264	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	Air traffic control service			AIP India ENR 1.4 / ATC service objective (prevent collisions)		The air traffic service which prevents the collision between aircraft is called
265	ar-9	ar-13	VERIFIED	B	1 Mile			Aircraft Rules Sch. I (1) "radius of one mile from the Towers of Silence on Malabar Hills"		Prohibited area around Malabar hill is _____ mile.
266	ar-1	ar-1	VERIFIED	A	02mins			Doc 4444 5.8.3.1 (2 min)		Separation between Medium A/C taking off behind heavy A/C (or) Light A/C taking off behind Medium A/C is ______ min:
267	ar-6	ar-4	VERIFIED	B	15			Doc 4444 5.4.2.2.1.1 a)		Longitudinal separation between two A/C on same track is _____ min
268	ar-9	ar-13	CORRECTED (proposed, not applied)	C	48 hrs	A	24 hrs	Aircraft (Investigation of Accidents and Incidents) Rules 2025 r.4(1) (accident OR incident: not later than twenty-four hours)	keyed C (48 h) was the old r.77B figure, superseded	A/C incident should be notified with in _______ hrs.
269	ar-9	ar-13	FLAGGED	D	D,E,F& G	D	D,E,F& G	AIP India ENR 1.4	AIP now designates A and B (TMA/CTR) and uses C; "D,E,F,G" is outdated	Indian Airspace comes under ________ class of airspace.
270	ar-9	ar-13	VERIFIED	A	15 mts			as #215		No unauthorized person must be present within ______ mtrs of A/C , while refueling is on .
271	ar-9	ar-13	VERIFIED	B	15 NMs			as #236		An aircraft must fly ______ Nm away from International Border.
272	ar-6	ar-4	VERIFIED	C	15º at 15 NMs			Doc 4444 5.4.1.2.1.2 a) (VOR 15° and 15 NM)		VOR Track separation is _______
273	ar-3	ar-3	VERIFIED	B	by westbound aircraft on VFR plan			Annex 2 App 3 (180-359 VFR = even+500)		FL 145 can be used:
274	ar-3	ar-3	VERIFIED	A	1000’			AIP India ENR 1.2 §1; Annex 2 Table 3-1		In VMC the vertical distance from cloud base is ________
275	ar-9	ar-13	VERIFIED	C	30 mins			AIP India ENR 5.2.2 (fresh ADC if delayed more than thirty minutes, return flight)		Fresh ADC is required in case the flight is delayed by _________ minutes.
276	ar-6	ar-4	FLAGGED	A	B	C	D& E	AIP India ENR 1.4 (IFR/IFR separation in classes A-E)	options are all incomplete; for Indian classes D and E, C is at least as right as keyed A	In separation between IFR and IFR is provided in ______ class of Airspace.
277	ar-7	ar-9, ar-11	VERIFIED	C	Green			as #219		Displaced threshold lights will be in _________ colour.
278	ar-4	ar-7, ar-12	VERIFIED	B	2000’ in 8 kms			Annex 2 5.1.2 a)		Minimum obstacle clearance in mountainous terrain for an IFR light is
279	ar-9	ar-13	VERIFIED	B	N			Doc 4444 App 2 Item 8 (N = non-scheduled)		________Letter stands for non-scheduled flight in flight plan.
280	ar-2	ar-2, ar-14, ar-15	VERIFIED	A	50%			as #227		The _______ % of co-pilot flying is counted towards the renewal of CPL as PIC.
281	ar-7	ar-9, ar-11	VERIFIED	B	45 m			CAR Sec 4 Series B Pt I 5.2.4.5 (45 m = 12 stripes)		33 12 stripes of threshold markings indicate a rw width of
282	ar-9	ar-13	VERIFIED	C	1500 mto2399 m			as #85		4 pairs of touch down zone markings indicate landing distance available
283	ar-9	ar-13	FLAGGED	C	5 kms			as #107		The visibility minima for take off, if the aerodrome is not equipped with radio nav aid is ______ km.
284	ar-9	ar-13	VERIFIED	B	24 hrs			as #230		An aircraft accident has to be informed to the DGCA with in
285	ar-13	ar-18	VERIFIED	B	Urgency			Annex 2 App 1 / Annex 10 Vol II (XXX = urgency in telegraphy)		A signal made by radio- telegraphy (or) by any other signaling method consisting, of the group ‘XXX’ in Morse code indicates:
286	ar-7	ar-9, ar-11	VERIFIED	D	green			CAR Sec 4 Series B Pt I 5.3.17 (taxiway centre line lights green)		Taxiway Centre line lights shall be of the following colour
287	ar-9	ar-13	FLAGGED	C	7			AIP India ENR 1.14 5.1 (incident report form within 24 hours of landing)	keyed 7 days is outdated; no option correct	An Air-miss incident report made by radio (or) telephone must be confirmed with in _____ days.
288	ar-2	ar-2, ar-14, ar-15	VERIFIED	B	CPL/ATLP			Aircraft Rules Sch. II PPL privileges ("not for remuneration"); aerial work is remunerative (r.3(1A))		A person holding ________ shall fly ‘Aerial work Aircraft’
289	ar-9	ar-13	FLAGGED	A	20 mins after sunset to 20 mins before sunrise	A	20 mins after sunset to 20 mins before sunrise	Aircraft Rules Sch. II para 4 (half an hour)	see #226; bank is internally inconsistent (#752 keys 30 min)	‘Flight by night ‘means a flight performed between the periods of
290	ar-9	ar-13	VERIFIED	C	IFR Flts			Doc 4444 16.4.1.1 (RPLs only for IFR)		‘RPL’ shall be used for ___________ flights only.
291	ar-13	ar-18	VERIFIED	C	Distress			Annex 2 App 1 1.1 d)		‘Rockets (or) shells throwing red lights, fired one at a time at short intervals from an aircraft indicate ______:
292	ar-6	ar-4	DROPPED (recommended)	D	Response			unanswerable as printed	parser damage: correct statement split across options C and D ("Response")	Which response is most correct with respect to wake turbulence?
293	ar-6	ar-4	VERIFIED	D	All fixed and rotary wing aircraft.			FAA AIM 7-4 "Every aircraft generates wake turbulence"; helicopters section		Wake turbulence is produced by
294	ar-7	ar-9, ar-11	VERIFIED	C	A white or yellow X.			Air Law textbook 22.15		Runways and taxiways or portions thereof that are closed to aircraft are marked by
295	ar-5	ar-5, ar-6, ar-8	FLAGGED	A	QDM	A	QDM	Q-code source (Doc 8400) not held	QDM (magnetic) is the conventional answer for runway direction; cannot cite	Runway direction designator is:
296	ar-7	ar-9, ar-11	VERIFIED	C	Unidirectional green lights			as #219		Runway threshold lights are
297	ar-9	ar-13	FLAGGED	B	5700 Kg			as #225		Anti collision light is read. for A/C whose AUW exceeds
298	ar-3	ar-3	VERIFIED	C	Maintain heading and Speed			Annex 2 3.2.2.3 + 3.2.2 (right-of-way maintains hdg/speed); 14 CFR 25.1385	aircraft on your left showing red has you on ITS left; you have right of way	If you see an aircraft on relative bearing of 270º with its red light than PIC’s action is
299	ar-3	ar-3	VERIFIED	C	Green			14 CFR 25.1385	crossing left-to-right ahead shows its starboard (green) side	An aircraft is crossing at right angle from left to right then the light seen by you, as PIC is
300	ar-6	ar-4	VERIFIED	C	Rock wings			Annex 2 App 1 3.2		If an aircraft in circuit has R/T failure then the visual indication by pilot to acknowledge ATC signals is:
301	ar-8	ar-19, ar-21	VERIFIED	D	V			Captain SAR notes (V = require assistance)		Survivors on land requiring assistance indicate it to A/C in air by
302	ar-7	ar-9, ar-11	VERIFIED	C	Slow down			Annex 2 App 1 5.11 (slow down)		Move extended arms down wards in a patting gesture, moving wands up and down from waist to knees:
303	ar-13	ar-18	VERIFIED	C	121.5 MHz			Captain SAR notes (121.5 MHz)		Emergency VHF frequency is
304	ar-7	ar-9, ar-11	VERIFIED	B	Cut engine			Annex 2 App 1 5.10		Either arm or hand level with shoulder, hand across throat, palm down ward indicates
305	ar-5	ar-5, ar-6, ar-8	VERIFIED	A	4000’ AMSL			AIP India ENR 1.7 §2.1.1 "No transition altitude is less than 4000 Ft"	stem lost "India"	Minimum transition altitude in for an aerodrome is
306	ar-6	ar-4	VERIFIED	B	20 NM			as #46		DME separation between A/C on same track, same level and in some direction is
307	ar-6	ar-4	VERIFIED	C	90º			Doc 4444 9.1.4.2.2.2		While crossing ATS routes the crossing will be done at _____ angles to the route.
308	ar-5	ar-5, ar-6, ar-8	FLAGGED	D	5 mins	D	5 mins	as #218		Lateral separation between two aircraft, one climbing and another holding is
309	ar-5	ar-5, ar-6, ar-8	VERIFIED	B	15 mins			Doc 4444 5.4.2.2.2.2 a)		Separation between climbing A/C, which is on crossing track of another A/C is
310	ar-8	ar-19, ar-21	VERIFIED	A	30 mins			CAR Sec 9 Series E Pt I 5.2.1 a) (uncertainty: fails to arrive within thirty minutes)		ATC will inform RCC when A/C does not land within _________ minutes of ETA.
311	ar-8	ar-19, ar-21	VERIFIED	C	Alert phase			as #43		If apprehension exists as to the safety of A/C and its occupants then it is called as
312	ar-6	ar-4	VERIFIED	B	5000 mts			AIP India ENR 1.2 §1		Within controlled airspace below 3000’ feet, visibility reqd. for VFR is
313	ar-9	ar-13	VERIFIED	C	All up weight of ac			as #261		Route Navigation charges are based on
314	ar-8	ar-19, ar-21	VERIFIED	C	after 01 Jan 2003 2 hrs			CAR Sec 2 Series I Pt VI 4.3.1 (2 hours)		Operator should instal CVR capable of retaining information during atleast last ________ of its operation:
315	ar-6	ar-4	VERIFIED	D	first report after 30 mins and subsequent after 60 mins			Doc 4444 4.11.1.2		On X-country flight where reporting points are not available then reporting shall be made after every ________ min in.
316	ar-5	ar-5, ar-6, ar-8	VERIFIED	B	F 130			AIP India ENR 1.7 §2.1.2 (above TL = flight level)		You are descending from F-200 to 12000 over . 13000’ will be reported as_______
317	ar-7	ar-9, ar-11	VERIFIED	C	Annex 14			Annex 14 = Aerodromes		Information about aerodromes is contained in _________ document.
318	ar-7	ar-9, ar-11	VERIFIED	B	Lamberts			as #572		Jeppesen charts widely use projection
319	ar-13	ar-18	FLAGGED	C	met information			Doc 4444 4.12.2 (Section 2 = Operational information)	keyed C (met) is wrong; no option says operational - rewrite	26 Second section of ‘Air Report’ contains
320	ar-9	ar-13	FLAGGED	B	3.7 kms			as #107		For an operator who has not filed minima, visibility minima for take off, if the aerodrome is equipped with VOR is _______ Km:
321	ar-9	ar-13	VERIFIED	C	Prohibited Area			as #131		Mathura Refinery is a _________ area.
322	ar-6	ar-4	VERIFIED	D	Experience any of the above situations.			FAA AIM 7-4 (induced roll, structural damage)		The wing tip vortices generated by a heavy aeroplane can cause a lighter aircraft encountering them to
323	ar-6	ar-4	VERIFIED	B	With rotation.			FAA AIM 7-4 "generates vortices from the moment it rotates on takeoff"		Wake turbulence caused by a departing large aeroplane begins
324	ar-6	ar-4	FLAGGED	A	Climb.			no held source contains a rule that the following aircraft shall climb	Annex 2 3.2.2.5.2 gives right of way to the LOWER aircraft; question unsupported - recommend DROP	Two aircraft are on approach to land, the following aircraft shall:
325	ar-13	ar-18	VERIFIED	D	ATIS phonetic identifier.			Doc 4444 / Doc 9432 (acknowledge ATIS identifier)		Where ATIS is available the information which should be included on first contact with ATC is the
326	ar-6	ar-4	VERIFIED	C	5 nm			Doc 4444 8.7.3.1		Two a/c flying in the vicinity of aerodrome under radar control will be separated by :
327	ar-3	ar-3	FLAGGED	B	F320, F360, F400, F440			CAR Sec 9 Series C Pt I 4.4-4.5 (VFR not above FL150 unless authorised; no VFR above FL290 where RVSM applies)	keyed B follows the ICAO non-RVSM table; in India VFR above FL290 is not permitted	An aircraft cruising VFR in level flight above F 290 on a track of 290 deg M shall be flown at
328	ar-6	ar-4	VERIFIED	A	A Control Zone.			Annex 2 def. Special VFR flight (within a control zone)		An aircraft flying in accordance with Special VFR would be flying within
329	ar-4	ar-7, ar-12	VERIFIED	B	Flight of aircraft is totally prohibited.			Annex 2 Ch1 def.	duplicate #25	A prohibited area means an area over which:
330	ar-6	ar-4	VERIFIED	D	Flight Information Centre			Doc 4444 def. Flight information centre		. What is defined as “ A unit established to provide flight information and alerting service” ?
331	ar-9	ar-13	BLOCKED	B	May take off if the forced landing was not due to any factor effecting the safe operation of the aircraft.			Indian forced-landing take-off rule not held		In the event of the forced landing at an uncontrolled aerodrome, aircraft
332	ar-3	ar-3	VERIFIED	C	By altering the heading to the right.			Annex 2 3.2.2.4		An overtake aircraft whether climbing, descending or in horizontal flight, shall keep out of the way of the other aircraft by:
333	ar-3	ar-3	VERIFIED	D	A glider, a balloon, an airship or an aero plane towing a glider.			Annex 2 3.2.2.3 a) and d)		To which of the following must the pilot of a helicopter give way if it is on a converging course with him and there is a risk of collision?
334	ar-6	ar-4	VERIFIED	C	Approach Control			Doc 4444 4.3.2.1 / Annex 11 (approach control within CTR)	aerodrome control also operates inside the CTR; wording loose	Within a control zone, the air traffic control is provided by
335	ar-3	ar-3	VERIFIED	D	Maintain heading and speed only			Annex 2 3.2.2	duplicate of #242	The pilot of an aircraft that has the right of way must do certain things to reduce the risk of collision. Apart from monitoring the other aircraft’ actions, what else must he do?
336	ar-9	ar-13	FLAGGED	B	5700 kg			as #225		Anit-collision light is required for a/c whose AUW exceeds:
337	ar-9	ar-13	VERIFIED	D	1000 hrs.			as #108		Max flying hours for a flight crew in one year is:
338	ar-3	ar-3	VERIFIED	C	Maintain heading and speed			as #298		If you see an aircraft on relative bearing of 270 with its red light then PIC’s action is:
339	ar-3	ar-3	VERIFIED	B	land at nearest aerodrome			as #437		If navigation lights fail at night the action of the pilot is
340	ar-8	ar-19, ar-21	VERIFIED	C	Alert phase			as #43		If apprehension exists as to the safety of a/c and its occupants then it called as:
341	ar-7	ar-9, ar-11	VERIFIED	B	200’			Captain ATC notes Ch.7 ("persons should remain at least 200 feet away from operating jet engines")	regulation behind the notes not located	An aircraft should not taxy behind a jet aircraft, less than:
342	ar-9	ar-13	FLAGGED	A	14 days	A	14 days	Aircraft (Public Health) Rules 1954 r.2(15)	chicken pox is not a quarantinable disease; the Rules give no incubation period for it. 14 days is a medical figure, not a regulatory one	Incubation period of Chicken Pox is:
343	ar-3	ar-3	VERIFIED	B	10			Annex 2 App 3 (tables start FL10 / FL20)		Semi-circular rules starts from flight level:
344	ar-7	ar-9, ar-11	VERIFIED	D	Green			as #286		22 Taxiway Centre line light shall be of the following colour
345	ar-5	ar-5, ar-6, ar-8	VERIFIED	C	2000’ within 8 Km of the estimate position of the a/c			Annex 2 5.1.2 a)	stem says "vertical separation" but the rule is obstacle clearance	Minimum vertical separation in mountainous area for aircraft flying IFR flights is
346	ar-9	ar-13	VERIFIED	D	15 NM			as #236		No scheduled flight carrying passengers is permitted to fly with in ___ of International Border:
347	ar-9	ar-13	VERIFIED	C	6			Aircraft Rules r.38B(1)(iii): 2 + ceil(151/50) = 6	Captain ruling 2026-09-05 confirmed	A passenger transport aircraft with 250 seats departs on a flight with a passenger load of 136. The number of flight attendants required is:
348	ar-5	ar-5, ar-6, ar-8	VERIFIED	A	Airfield QNH			AIP India ENR 1.7 §3 (QNH in approach and landing instructions)		When approaching an airfield within a TMA the altimeter setting to be used, having passed through the transition altitude is:
349	ar-9	ar-13	FLAGGED	C	1000 hours in the year up to the end of the month prior to the present flight	C	1000 hours in the year up to the end of the month prior to the present flight	CAR Sec 7 J Pt III 8.5 (1000 h in 365 consecutive days)	"year up to end of the month" wording is not the CAR wording	The maximum permitted flight time for flight crew is:
350	ar-4	ar-7, ar-12	VERIFIED	A	Aerodrome unsafe, do not land			Annex 2 App 1 3.1 (red flashes, in flight: aerodrome unsafe, do not land)		A series of red flashes sent to an aircraft in flight means :
351	ar-7	ar-9, ar-11	VERIFIED	B	Highest point on the landing area			as #102		Airfield elevation is the altitude of the:
352	ar-3	ar-3	VERIFIED	B	No action			as #298	"No action" = maintain heading and speed	If PIC of an a/c flying sees the red navigation flight of an a/c at a Relative bearing of 270º then the action of pilot:
353	ar-4	ar-7, ar-12	FLAGGED	B	Cloud ceiling and RVR	B	Cloud ceiling and RVR	CAR Sec 8 Series C Pt I 14.1 (take-off minima expressed as visibility or RVR, cloud where needed to see obstacles)	no option matches exactly	A public transport aircraft shall not take-off unless the following minima for the departure airfield are satisfactory :
354	ar-7	ar-9, ar-11	VERIFIED	A	The total time from when an aircraft first moves under its own power for the purpose of taking off until it comes to rest after the flight			CAR Sec 7 Series J Pt III 3.5.3 (Flight Time)		With regard to flight time limitations, “flight time “means:
355	ar-6	ar-4	VERIFIED	B	The location where visiting pilots should report			Annex 2 App 1 4.2.7 (black C on yellow: ATS reporting office)		A black letter “C” on a yellow background indicates:
356	ar-3	ar-3	VERIFIED	C	Increases at a very slow rate until shortly before impact			HPL textbook ch.10 Fig 10.10 (image remains very small until very shortly before impact)		The retinal size of an aircraft approaching on a collision course :
357	ar-10	ar-22, ar-25, ar-26	VERIFIED	D	48 hours			HPL textbook ("48 hours following a general anaesthetic")		After a general anaesthetic one should not fly for:
358	ar-6	ar-4	FLAGGED	C	Day- 1.5 Km when so prescribed by appropriate ATS authority.	C	Day- 1.5 Km when so prescribed by appropriate ATS authority.	Doc 4444 7.14.1.3 (SVFR when ground visibility not less than 1 500 m)	ICAO sets 1500 m ground visibility, not flight visibility "when prescribed"; C nearest	What is the minimum visibility requirement in under special VFR operation in Class D airspace below 10000 feet
359	ar-6	ar-4	CORRECTED (proposed, not applied)	A	The engines are at maximum thrust output at slow air speed	C	Of the high angle of attack and high gross weight	FAA AIM 7-4 (wake is a function of lift: heavy, clean, slow)	keyed A (engine thrust) is wrong - vortex strength comes from lift, i.e. high weight and high angle of attack at low speed = option C	Wake turbulence is near maximum behind a jet transport just after takeoff because
360	ar-6	ar-4	FLAGGED	D	The sole responsibility of the pilot.	D	The sole responsibility of the pilot.	no held source (FAA AIM 7-4 text read)	for IFR, ATC applies wake minima (Doc 4444 5.8), so "sole responsibility of the pilot" is not true in ICAO terms	Avoiding wake turbulence is
361	ar-6	ar-4	VERIFIED	B	following take-off			FAA AIM 7-4		Wake turbulence caused by a departing aeroplane is most severe immediately
