"Chapter","No","Question","A","B","C","D","Correct","Status","Verification / Note"
"met-3 Temperature","26","The liquid used in a minimum thermometer is:","Mercury","Alcohol","Water","","B) Alcohol","VERIFIED","Minimum thermometers use alcohol (spirit)."
"met-3 Temperature","27","The freezing point of water is:","0°F","12°F","22°F","32°F","D) 32°F","VERIFIED","Water freezes at 32°F."
"met-3 Temperature","28","The boiling point of water is:","100°F","112°F","212°F","312°F","C) 212°F","VERIFIED","Water boils at 212°F."
"met-3 Temperature","29","The freezing point of water in Kelvin is:","173 K","273 K","373 K","473 K","B) 273 K","VERIFIED","0°C = 273 K."
"met-3 Temperature","30","The boiling point of water in Kelvin is:","373 K","273 K","173 K","312 K","A) 373 K","VERIFIED","100°C = 373 K."
"met-3 Temperature","31","Convert 68°F to Kelvin:","233 K","283 K","294 K","293 K","D) 293 K","VERIFIED","68°F = 20°C = 293 K."
"met-3 Temperature","32","The diurnal variation of temperature is least on a day that is:","Clear","Partly cloudy","Cloudy","Overcast","D) Overcast","VERIFIED","Overcast skies suppress both heating and cooling → smallest range."
"met-3 Temperature","33","A clear, calm night is cooler than a cloudy night because the nocturnal radiation is:","Escaping freely through cloud","Partly radiated back to earth by cloud","Fully absorbed by water vapour","Fully trapped by cloud","B) Partly radiated back to earth by cloud","VERIFIED","Cloud returns long-wave radiation to the surface, reducing night cooling."
"met-3 Temperature","34","The total energy radiated by a black body is proportional to:","T²","T³","T⁴","T","C) T⁴","TEXT-FIX","Stefan–Boltzmann law: E ∝ T⁴. Original options were garbled (T², T, T); corrected."
"met-3 Temperature","35","On a clear day, the fraction of solar radiation reaching the earth's surface is about:","Three-quarters","30%","Five-sixths","","A) Three-quarters","VERIFIED","On a clear day about three-quarters of the incoming solar radiation reaches the surface."
"met-3 Temperature","36","A fresh snow surface reflects about ____ of incident solar radiation:","75%","80%","90%","","A) 75%","VERIFIED","Fresh snow reflects about 75% of incident solar radiation."
"met-3 Temperature","37","Solar radiation consists of about 46%:","Ultraviolet","Infra-red","Visible light","","B) Infra-red","VERIFIED","About 46% of solar radiation is infra-red (roughly 45% visible, 9% ultraviolet)."
"met-4 Air Density","1","Air density near the surface is ____ at the poles than at the Equator:","Higher","Lower","Same","","A) Higher","VERIFIED","Cold polar air is denser than warm equatorial air."
"met-4 Air Density","2","Above about 8 km, air density is ____ at the poles than at the Equator:","Higher","Lower","Same","","B) Lower","VERIFIED","The reversal: above ~8 km the equatorial column is deeper, so density is lower over the poles."
"met-4 Air Density","3","The altitude in the ISA at which the air density equals the observed density is called the:","Density altitude","ISA density","Real density","","A) Density altitude","VERIFIED","Definition of density altitude."
"met-4 Air Density","4","Density is usually expressed in:","kg per square metre","grams per cubic metre","newtons per square metre","","B) grams per cubic metre","VERIFIED","Density = mass/volume (e.g. g/m³)."
"met-4 Air Density","5","A higher density altitude means a ____ air density:","Higher","Lower","Same","","B) Lower","VERIFIED","High density altitude corresponds to low actual air density."
"met-4 Air Density","6","For a given pressure and temperature, moist air has a ____ density than dry air:","Higher","Lower","Same","","B) Lower","VERIFIED","Water vapour is lighter than dry air, so moist air is less dense."
"met-4 Air Density","7","Air is less dense in:","High altitudes","Warm air","High humidity","All of these","D) All of these","VERIFIED","Altitude, heat and humidity each reduce density."
"met-4 Air Density","8","Density altitude may be defined as:","The ISA altitude at which the prevailing pressure occurs","The ISA altitude at which the prevailing density occurs","A constant-pressure surface referenced to 1013.2 hPa","","B) The ISA altitude at which the prevailing density occurs","VERIFIED","Density altitude = ISA altitude matching the actual density."
"met-4 Air Density","9","Air is least dense in conditions of:","Low altitude","High pressure","High altitude, high temperature and high humidity","","C) High altitude, high temperature and high humidity","VERIFIED","All three factors lower density (reworded from a duplicate)."
"met-4 Air Density","10","If pressure increases (temperature unchanged), the density altitude:","Increases","Lowers","Remains the same","","B) Lowers","CORRECTED","Higher pressure gives higher density, so the density altitude lowers."
"met-4 Air Density","11","For every 1°C rise in temperature above ISA, the density altitude changes by about:","33 ft","100 ft","120 ft","210 ft","C) 120 ft","CORRECTED","≈120 ft per °C (density altitude ≈ pressure altitude + 118 ft × ISA-deviation). IC Joshi marked 33 ft — incorrect."
"met-5 Humidity","1","The ratio (%) of the water vapour present in the air to the amount it could hold at the same temperature is:","Humidity","Relative humidity","Dew point","","B) Relative humidity","VERIFIED","Definition of relative humidity."
"met-5 Humidity","2","The temperature to which air must be cooled at constant pressure to become saturated is the:","Wet-bulb temperature","Dry-bulb temperature","Dew point","Humidity","C) Dew point","VERIFIED","Definition of dew point."
"met-5 Humidity","3","The free-air, wet-bulb and dew-point temperatures are equal when:","Air temperature is 0°C","Relative humidity is 100%","Air temperature is above 0°C","","B) Relative humidity is 100%","VERIFIED","At saturation (RH 100%) all three coincide."
"met-5 Humidity","4","Compared with a sunny day, the runway length required on a rainy day is:","More","Less","Same","","A) More","VERIFIED","A wet runway reduces braking/increases required length."
"met-5 Humidity","5","The spread between the free-air temperature and the dew point, when the air is saturated, is:","Large","Least (≈0)","Unchanged","","B) Least (≈0)","VERIFIED","At saturation the temperature–dew point spread is near zero."
"met-5 Humidity","6","The saturation vapour pressure over water is ____ than that over ice (at the same sub-zero temperature):","More","Less","Same","","A) More","VERIFIED","SVP over water exceeds SVP over ice — the basis of ice-crystal growth."
"met-5 Humidity","7","As the temperature of air increases, the amount of water vapour required to saturate it:","Decreases","Increases","Stays the same","","B) Increases","VERIFIED","Warmer air holds more water vapour at saturation."
"met-5 Humidity","8","The actual mass of water vapour in a given volume of air is termed:","Relative humidity","Specific humidity","Absolute humidity","","C) Absolute humidity","VERIFIED","Absolute humidity = mass of water vapour per unit volume."
"met-5 Humidity","9","The humidity mixing ratio, when unsaturated air is lifted adiabatically:","Decreases","Remains constant","Increases","","B) Remains constant","VERIFIED","Mixing ratio is conserved until saturation is reached."
"met-5 Humidity","10","The lowest temperature air reaches by evaporating water into it until saturated is the:","Wet-bulb temperature","Dry-bulb temperature","Dew point","","A) Wet-bulb temperature","VERIFIED","Definition of wet-bulb temperature."
"met-6 Wind","1","In the Southern Hemisphere, if an observer faces the wind, the low pressure is to their:","Right","Left","","","B) Left","VERIFIED","SH: back to wind → low on the right; facing the wind → low on the left."
"met-6 Wind","2","In the Northern Hemisphere, due to the earth's rotation, winds are deflected to the:","Left","Right","","","B) Right","VERIFIED","Coriolis deflects moving air to the right in the NH."
"met-6 Wind","3","Local (thermal) winds obey Buys Ballot's law:","False","True","","","A) False","VERIFIED","Buys Ballot applies to large-scale gradient wind, not local winds."
"met-6 Wind","4","In the Northern Hemisphere the Coriolis force acts perpendicular to the wind, to its:","Left","Right","","","B) Right","VERIFIED","Coriolis acts 90° to the right of motion in the NH."
"met-6 Wind","5","The geostrophic wind results from a balance between:","Coriolis and friction","Pressure gradient and cyclostrophic force","Pressure gradient and Coriolis force","","C) Pressure gradient and Coriolis force","VERIFIED","Geostrophic balance = pressure-gradient force vs Coriolis force."
"met-6 Wind","6","The Coriolis force is strongest at the:","Mid-latitudes","Poles","Equator","","B) Poles","VERIFIED","Coriolis is maximum at the poles, zero at the Equator."
"met-6 Wind","7","The geostrophic approximation breaks down at the:","Mid-latitudes","Poles","Equator","","C) Equator","VERIFIED","Coriolis → 0 at the Equator, so geostrophic balance fails."
"met-6 Wind","8","Föhn winds on the leeward side of a mountain are:","Dry and warm","Cold and humid","","","A) Dry and warm","VERIFIED","Descending leeward air is warmed adiabatically and dried."
"met-6 Wind","9","The wind sliding down a hillside at night is called a ____ wind:","Föhn","Anabatic","Katabatic","","C) Katabatic","VERIFIED","Katabatic = nocturnal downslope drainage wind."
"met-6 Wind","10","With the onset of a sea breeze there is a ____ in temperature and a ____ in relative humidity:","Fall / Rise","Rise / Fall","Fall / Fall","","A) Fall / Rise","VERIFIED","Cool, moist sea air lowers temperature and raises RH."
"met-6 Wind","11","A sea breeze sets in by ____ and dies off at ____:","Night / Day","Day / Night","Both day and night","","B) Day / Night","VERIFIED","Sea breeze blows during the day, ceasing at night."
"met-6 Wind","12","In the NH, an aircraft flying from high to low pressure experiences:","Starboard drift","Port drift","","","A) Starboard drift","VERIFIED","NH high→low: drift to starboard."
"met-6 Wind","13","In the NH, if you experience port drift, the altimeter will read:","Under","Over","","","A) Under","VERIFIED","Port drift ⇒ flying low→high pressure ⇒ altimeter under-reads."
"met-6 Wind","14","Lines of constant wind speed on a chart are called:","Isobars","Isotachs","Isogons","","B) Isotachs","VERIFIED","Isotachs join points of equal wind speed."
"met-6 Wind","15","A squall is distinguished from a gust by its:","Shorter duration","Longer duration","Lower wind speed","","B) Longer duration","VERIFIED","A squall is a sustained increase (minutes); a gust is momentary."
"met-6 Wind","16","The thermal wind is:","A wind caused by thermals","A warm leeward downslope wind","The vector to add to the lower geostrophic wind to obtain the upper geostrophic wind","","C) The vector to add to the lower geostrophic wind to obtain the upper geostrophic wind","VERIFIED","Thermal wind = vector difference between upper and lower geostrophic winds."
"met-6 Wind","17","Where isobars are closely packed, the surface winds are likely to be:","Light and parallel to the isobars","Strong and parallel to the isobars","Strong and blowing across the isobars","","B) Strong and parallel to the isobars","VERIFIED","Tight gradient → strong winds, near-parallel to isobars aloft."
"met-6 Wind","18","Anabatic wind occurs:","At night","At any time","During the day","","C) During the day","VERIFIED","Anabatic = daytime upslope wind."
"met-6 Wind","19","Anabatic wind is stronger than katabatic wind:","True","False","","","B) False","VERIFIED","Katabatic winds are generally the stronger of the two."
"met-6 Wind","20","Katabatic wind is a downslope cold wind caused by nocturnal cooling:","True","False","","","A) True","VERIFIED","Correct — radiational cooling drains cold dense air downslope."
"met-6 Wind","21","Katabatic wind is due to air sinking down the hill slope:","True","False","","","A) True","VERIFIED","Correct."
"met-6 Wind","22","Anabatic wind is due to a downward movement of air along a valley:","True","False","","","B) False","VERIFIED","False — anabatic air moves UP-slope."
"met-6 Wind","23","A sea breeze is stronger than a land breeze:","True","False","","","A) True","VERIFIED","The daytime land-sea temperature contrast is greater."
"met-6 Wind","24","The wind blows clockwise around a low in the Northern Hemisphere:","True","False","","","B) False","VERIFIED","NH lows are anticlockwise."
"met-6 Wind","25","The wind blows clockwise around a low in the Southern Hemisphere:","True","False","","","A) True","VERIFIED","SH lows are clockwise."
"met-6 Wind","26","The wind blows anticlockwise around a low in the Northern Hemisphere:","True","False","","","A) True","VERIFIED","Correct for NH lows."
"met-6 Wind","27","The wind blows anticlockwise around a low in the Southern Hemisphere:","True","False","","","B) False","VERIFIED","False — SH lows are clockwise."
"met-6 Wind","28","The wind under the combined influence of pressure-gradient, Coriolis and centrifugal (cyclostrophic) forces is the:","Gradient wind","Geostrophic wind","Cyclostrophic wind","","A) Gradient wind","VERIFIED","The gradient wind accounts for curved flow."
"met-6 Wind","29","From day to night for a fixed isobaric pattern (NH), the surface wind:","Backs and weakens","Veers and strengthens","","","A) Backs and weakens","VERIFIED","At night reduced mixing → surface wind backs and weakens (NH)."
"met-6 Wind","30","Winds spiralling inward anticlockwise in the NH are associated with a:","Turbulence zone","High-pressure area","Low-pressure area","","C) Low-pressure area","VERIFIED","Inward anticlockwise spiral (NH) = low pressure."
"met-6 Wind","31","Lower-level wind 050/10 kt, upper-level wind 230/05 kt. The thermal wind is:","050/05 kt","230/15 kt","050/15 kt","","B) 230/15 kt","VERIFIED","Directions are opposite; thermal wind = 230/(10+5) = 230/15 kt."
"met-6 Wind","32","A change in wind direction from 310° to 020° is:","Backing","Veering","","","B) Veering","VERIFIED","Clockwise change = veering."
"met-6 Wind","33","A change in wind direction from 270° to 250° is:","Backing","Veering","","","A) Backing","VERIFIED","Anticlockwise change = backing."
"met-6 Wind","34","A change in wind speed from 10 kt to 30 kt and back to 15 kt is a:","Gust","Squall","Gale","","A) Gust","VERIFIED","A brief peak then drop = a gust."
"met-6 Wind","35","A rise in wind speed from 10 kt to 30 kt sustained for 2–3 minutes is a:","Squall","Gust","","","A) Squall","VERIFIED","A sustained increase = a squall."
"met-6 Wind","36","Significant wind shear can be associated with a thunderstorm or line squall:","False","True","","","B) True","VERIFIED","Correct — gust fronts/outflows cause strong shear."
"met-6 Wind","37","The cyclostrophic wind gives a good approximation of the 2000 ft wind in an intense tropical storm:","True","False","","","A) True","VERIFIED","In intense, tightly-curved systems the centrifugal term dominates."
"met-6 Wind","38","Rotor clouds indicate extremely turbulent flying conditions:","False","True","","","B) True","VERIFIED","Rotor zones (mountain waves) are severely turbulent."
"met-6 Wind","39","Friction makes the wind cross the isobars by about ____ over land and ____ over sea:","20° / 10°","20° / 30°","40° / 30°","","A) 20° / 10°","VERIFIED","Greater friction over land (~20–30°) than sea (~10°)."
"met-6 Wind","40","If the south is warmer than the north at every level (NH), the ____ wind strengthens with height without changing direction:","Easterly","Westerly","Southerly","Northerly","B) Westerly","VERIFIED","Warm south / cold north → thermal wind westerly → upper westerlies strengthen."
"met-6 Wind","41","In an anticyclone, the gradient wind relative to the geostrophic wind is:","An under-estimate","Accurate","An over-estimate","","C) An over-estimate","VERIFIED","Gradient wind is supergeostrophic (stronger) in an anticyclone."
"met-6 Wind","42","A gale is:","Winds ≥44 kt with a thunderstorm","A brief increase lasting minutes with a CB/dust storm","Persistent strong winds exceeding 33 kt, associated with a depression","","C) Persistent strong winds exceeding 33 kt, associated with a depression","VERIFIED","Gale = sustained wind ≥ 34 kt."
"met-6 Wind","43","In the NH the thermal wind blows parallel to the ____ with the lower values (cold) on its left:","Isobars","Isotherms","Isallobars","","B) Isotherms","VERIFIED","Thermal wind is parallel to the thickness lines/isotherms, cold on the left (NH)."
"met-6 Wind","44","Inertial flow is:","Cyclonic in both hemispheres","Anticyclonic in both hemispheres","Anticyclonic only around an anticyclone","","B) Anticyclonic in both hemispheres","VERIFIED","Inertial oscillation is anticyclonic in both hemispheres."
"met-7 Visibility & Fog","1","Fog is reported when visibility is reduced to:","Less than 1000 m","Exactly 1000 m","1000 to 2000 m","","A) Less than 1000 m","VERIFIED","Fog = visibility below 1000 m."
"met-7 Visibility & Fog","2","RVR is reported when the visibility falls below:","500 m","1000 m","1500 m","","C) 1500 m","VERIFIED","RVR is assessed/reported when visibility is below 1500 m."
"met-7 Visibility & Fog","3","Radiation fog forms:","Over land","Over sea","During the day","","A) Over land","VERIFIED","Radiation fog forms over land by night-time cooling."
"met-7 Visibility & Fog","4","When visibility is between 5000 m and 1000 m with RH near 100%, the phenomenon is:","Mist","Haze","Fog","","A) Mist","VERIFIED","Mist = reduced visibility (1–5 km) with high humidity; haze is dry."
"met-7 Visibility & Fog","5","Radiation fog forms over North India mainly during:","May–June","December–February","October–November","","B) December–February","VERIFIED","Winter (Dec–Feb) gives the long cold nights needed."
"met-7 Visibility & Fog","6","Warm, moist air moving over cold ground gives rise to:","Thunder clouds","Fog and stratus","Frontal clouds","","B) Fog and stratus","VERIFIED","Cooling from below saturates the air → fog/stratus."
"met-7 Visibility & Fog","7","Warm, moist air moving over a cold surface causes:","Radiation fog","Advection fog","Frontal fog","","B) Advection fog","VERIFIED","Horizontal transport of warm moist air over a cold surface = advection fog."
"met-7 Visibility & Fog","8","Radiation fog forms due to:","Daytime heating of the earth","Radiational cooling of the earth at night","Advection of cold air","","B) Radiational cooling of the earth at night","VERIFIED","Night-time long-wave cooling of the ground."
"met-7 Visibility & Fog","9","Radiation-fog activity increases after the passage of a:","Western Disturbance","Depression","Col","","A) Western Disturbance","VERIFIED","Clearing skies + residual moisture behind a WD favour radiation fog."
"met-7 Visibility & Fog","10","Radiation fog is essentially a ____ phenomenon:","Nocturnal","Dusk","Daytime","","A) Nocturnal","VERIFIED","It forms overnight and clears after sunrise."
"met-7 Visibility & Fog","11","Radiation fog forms over:","Water","Land","Both equally","","B) Land","VERIFIED","Land cools rapidly at night; the sea does not."
"met-7 Visibility & Fog","12","The fog formed by horizontal movement of warm moist air over a cold surface is:","Radiation","Advection","Frontal","","B) Advection","VERIFIED","Advection fog."
"met-7 Visibility & Fog","13","Advection fog forms during:","Night only","Daytime only","Any time of day or night","","C) Any time of day or night","VERIFIED","It depends on air movement, not on time of day."
"met-7 Visibility & Fog","14","Radiation fog requires:","Moisture, cloudy sky, no wind","Moisture, clear sky, light wind","Moisture, cloudy sky, strong wind","","B) Moisture, clear sky, light wind","VERIFIED","Clear sky (for cooling), moisture, and light wind (gentle mixing)."
"met-7 Visibility & Fog","15","The instrument used to measure visibility is the:","Visiometer","Transmissometer","Ceilometer","","B) Transmissometer","VERIFIED","A transmissometer measures visibility/RVR; a ceilometer measures cloud base."
"met-7 Visibility & Fog","16","Advection fog forms:","Over sea only","Over land only","Both over land and sea","","C) Both over land and sea","VERIFIED","Advection fog can occur over either surface."
"met-7 Visibility & Fog","17","Fog is essentially ____ cloud on the ground:","Stratocumulus","Stratus","Nimbostratus","","B) Stratus","VERIFIED","Fog is stratus cloud at the surface."
"met-7 Visibility & Fog","18","Frontal fog is most common with a:","Western Disturbance","Cyclone","Warm front","Cold front","C) Warm front","VERIFIED","Rain evaporating into cold air ahead of a warm front → frontal fog."
"met-7 Visibility & Fog","19","The pressure system most favourable for fog formation is:","Lows and cols","Highs and troughs","Lows and ridges","Highs and cols","D) Highs and cols","VERIFIED","Highs and cols give the light winds and clear skies fog needs."
"met-7 Visibility & Fog","20","The temperature structure that favours fog formation is an:","Isothermal layer","Adiabatic layer","Inversion","SALR layer","C) Inversion","VERIFIED","A surface inversion traps moisture and cooling near the ground."
"met-8 Clouds/Stability","1","Drizzle falls from:","Cirrostratus (CS)","Stratus (ST)","Nimbostratus (NS)","Cumulus (CU)","B) Stratus (ST)","VERIFIED","Drizzle falls from stratus."
"met-8 Clouds/Stability","2","Altostratus (AS) is:","A low sheet cloud","A medium-level sheet cloud","A cloud of large vertical growth","A high sheet cloud","B) A medium-level sheet cloud","TEXT-FIX","AS is a medium (mid-level) sheet cloud. (Garbled first option cleaned.)"
"met-8 Clouds/Stability","3","Showers fall from:","Cumulus (CU)","Cumulonimbus (CB)","Altostratus (AS)","Altocumulus (AC)","B) Cumulonimbus (CB)","VERIFIED","Showery precipitation comes from convective CB/CU; CB gives the classic shower."
"met-8 Clouds/Stability","4","Heavy (severe) airframe icing is most likely in:","Cirrus (CI)","Cirrostratus (CS)","Stratus (ST)","Cumulonimbus (CB)","D) Cumulonimbus (CB)","VERIFIED","CB holds large supercooled droplets → severe icing."
"met-8 Clouds/Stability","5","To avoid icing, a pilot should prefer a cloud showing which optical phenomenon?","Halo","Corona","Iridescence (multicoloured cloud)","","A) Halo","VERIFIED","A halo means ice crystals (already frozen) → low icing; corona/iridescence means supercooled water."
"met-8 Clouds/Stability","6","The dark-grey cloud giving continuous rain is:","Altostratus (AS)","Nimbostratus (NS)","Stratus (ST)","Cumulonimbus (CB)","B) Nimbostratus (NS)","VERIFIED","Nimbostratus gives continuous rain."
"met-8 Clouds/Stability","7","A uniform layer of cloud resembling fog but not touching the ground is:","Altostratus (AS)","Nimbostratus (NS)","Stratus (ST)","","C) Stratus (ST)","VERIFIED","Stratus is fog-like layer cloud lifted off the surface."
"met-8 Clouds/Stability","8","The feathery cloud composed of ice crystals is:","Cirrus (CI)","Cirrostratus (CS)","Altostratus (AS)","","A) Cirrus (CI)","VERIFIED","Cirrus — high, feathery, ice-crystal cloud."
"met-8 Clouds/Stability","9","Nimbostratus (NS) cloud occurs at a:","Cold front","Warm front","","","B) Warm front","VERIFIED","NS is associated with the gentle uplift of a warm front."
"met-8 Clouds/Stability","10","A halo is associated with which cloud?","Altocumulus (AC)","Altostratus (AS)","Cirrostratus (CS)","Cirrus (CI)","C) Cirrostratus (CS)","VERIFIED","Halo forms in cirrostratus (ice crystals)."
"met-8 Clouds/Stability","11","A corona is associated with which cloud?","Altostratus (AS)","Altocumulus (AC)","Cirrocumulus (CC)","Cirrostratus (CS)","B) Altocumulus (AC)","VERIFIED","Corona forms in thin water-droplet cloud such as altocumulus."
"met-8 Clouds/Stability","12","Lenticular clouds indicate the presence of:","A warm front","A cold front","Mountain waves","","C) Mountain waves","VERIFIED","Lenticular (wave) clouds mark standing mountain waves."
"met-8 Clouds/Stability","13","The lowest level below which condensation (contrails) will NOT form is the:","Mintra level","Drytra level","Maxtra level","","A) Mintra level","VERIFIED","Mintra = minimum trail level."
"met-8 Clouds/Stability","14","Rain falling from a cloud but not reaching the ground is:","Virgo","Virga","Mirage","","B) Virga","VERIFIED","Virga = precipitation evaporating before reaching the surface."
"met-8 Clouds/Stability","15","A cumulonimbus with a distinct anvil is:","Castellanus","Capillatus","Uncinus","","B) Capillatus","VERIFIED","CB capillatus (incus) has the fibrous anvil top."
"met-8 Clouds/Stability","16","The cloud ceiling is the height of the lowest cloud covering:","3–4 oktas","8 oktas","5 oktas or more","","C) 5 oktas or more","VERIFIED","Ceiling = lowest broken/overcast layer (≥5 oktas)."
"met-8 Clouds/Stability","17","Condensation trails do NOT form above the:","Maxtra level","Drytra level","Mintra level","","A) Maxtra level","VERIFIED","Maxtra = maximum trail level."
"met-8 Clouds/Stability","18","A cloud is of operational significance when its base is below ____ m, or below the highest minimum sector altitude, whichever is greater:","1500","2000","1000","","A) 1500","VERIFIED","1500 m (5000 ft) is the operational-significance threshold."
"met-8 Clouds/Stability","19","Altocumulus with cumuliform protuberances (castellanus/floccus) indicates:","Stability","Instability","Neutrality","","B) Instability","VERIFIED","AC castellanus signals mid-level instability."
"met-8 Clouds/Stability","20","Hail may be experienced under the anvil of a CB:","True","False","","","A) True","VERIFIED","Hail can be thrown out and fall from beneath the anvil."
"met-8 Clouds/Stability","21","If DALR = 9.8°C/km and ELR = 6.8°C/km, the (dry) atmosphere is:","Stable","Unstable","Indifferent","","A) Stable","VERIFIED","ELR < DALR → stable for unsaturated air."
"met-8 Clouds/Stability","22","If SALR = 5.5°C/km and ELR = 4.5°C/km, the (saturated) atmosphere is:","Unstable","Stable","Indifferent","","B) Stable","VERIFIED","ELR < SALR → absolutely stable."
"met-8 Clouds/Stability","23","When DALR > ELR > SALR, the atmosphere is:","Conditionally unstable","Latently stable","Potentially stable","","A) Conditionally unstable","CORRECTED","SALR < ELR < DALR is 'conditional instability' (stable if dry, unstable if saturated). Corrected the term from 'conditionally stable'."
"met-8 Clouds/Stability","24","Unsaturated (dry) air is unstable when:","ELR = DALR","ELR > DALR","ELR < DALR","","B) ELR > DALR","VERIFIED","ELR steeper than the DALR → dry instability."
"met-8 Clouds/Stability","25","Saturated air is unstable when:","SALR = ELR","ELR > SALR","ELR < SALR","","B) ELR > SALR","VERIFIED","ELR steeper than SALR → saturated instability."
"met-8 Clouds/Stability","26","If ELR = SALR = DALR, the atmosphere is:","Stable","Unstable","Indifferent (neutral)","","C) Indifferent (neutral)","VERIFIED","All rates equal → neutral/indifferent."
"met-8 Clouds/Stability","27","The DALR is:","The rate at which an unsaturated parcel cools as it ascends","The rate at which temperature falls with height in the environment","The rate at which a saturated ascending parcel cools","","A) The rate at which an unsaturated parcel cools as it ascends","VERIFIED","DALR = cooling rate of a rising unsaturated parcel (≈9.8°C/km)."
"met-8 Clouds/Stability","28","Surface temperature is 30°C. Using the DALR, the temperature at 2 km is:","18°C","10°C","42°C","","B) 10°C","VERIFIED","30 − 2×10 = 10°C."
"met-8 Clouds/Stability","29","An isothermal atmosphere is:","Stable","Unstable","Neutral","","A) Stable","VERIFIED","Isothermal (and inversion) layers are very stable."
"met-8 Clouds/Stability","30","If the ELR is less than the SALR, the atmosphere is:","Absolutely unstable","Conditionally stable","Absolutely stable","","C) Absolutely stable","VERIFIED","ELR < SALR (and < DALR) → absolutely stable."
"met-8 Clouds/Stability","31","The DALR is approximately:","5°C/km","15°C/km","10°C/km","","C) 10°C/km","VERIFIED","≈9.8 ≈ 10°C/km."
"met-8 Clouds/Stability","32","The SALR near mean sea level is about:","10°C/km","5°C/km","5°F/km","","B) 5°C/km","VERIFIED","≈4–5°C/km at MSL (moisture-dependent)."
"met-8 Clouds/Stability","33","The SALR approaches the DALR:","At 0°C","At 15°F","At about −40°C","","C) At about −40°C","VERIFIED","At very cold temperatures little latent heat is released, so SALR → DALR."
"met-8 Clouds/Stability","34","Dry air at 35°C forced to rise 1 km adiabatically attains:","29°C","25°C","45°C","","B) 25°C","VERIFIED","35 − 10 = 25°C (DALR)."
"met-8 Clouds/Stability","35","An inversion in the atmosphere indicates:","Stability","Instability","Neutrality","","A) Stability","VERIFIED","An inversion is extremely stable."
"met-8 Clouds/Stability","36","An inversion is a ____ lapse rate:","Positive","Negative","Neutral","","B) Negative","VERIFIED","Temperature rising with height = negative lapse rate."
"met-8 Clouds/Stability","37","The ELR can be greater than the DALR:","True","False","","","A) True","VERIFIED","A superadiabatic ELR occurs over strongly heated surfaces."
"met-8 Clouds/Stability","38","The process that largely determines the vertical temperature distribution of the atmosphere is:","Adiabatic","Isothermal","Isentropic","","A) Adiabatic","VERIFIED","Adiabatic ascent/descent of air governs the vertical temperature profile."
"met-8 Clouds/Stability","39","A rise of temperature with height is called:","An inversion","A lapse","Normal","","A) An inversion","VERIFIED","Inversion = temperature increasing with height."
"met-8 Clouds/Stability","40","Inversions are most common in:","Post-monsoon","Monsoon","Winter","","C) Winter","VERIFIED","Long clear winter nights favour radiation inversions."
"met-10 Optical Phenomena","1","The Aurora Australis occurs in the:","Southern Hemisphere","Northern Hemisphere","Equatorial region","","A) Southern Hemisphere","VERIFIED","Aurora Australis = southern polar aurora."
"met-10 Optical Phenomena","2","The Aurora Australis is called the ____ Lights:","Northern","Southern","Temperate","","B) Southern","VERIFIED","'Southern Lights'."
"met-10 Optical Phenomena","3","The Aurora Borealis occurs in the:","Southern Hemisphere","Northern Hemisphere","Equatorial region","","B) Northern Hemisphere","VERIFIED","Aurora Borealis = northern polar aurora."
"met-10 Optical Phenomena","4","The Aurora Borealis is called the ____ Lights:","Northern","Southern","Temperate","","A) Northern","VERIFIED","'Northern Lights'."
"met-10 Optical Phenomena","5","A corona occurs in ____ cloud:","Altostratus (AS)","Nimbostratus (NS)","Cirrostratus (CS)","","A) Altostratus (AS)","VERIFIED","Corona forms in thin water-droplet cloud (AS/AC); CS gives a halo."
"met-10 Optical Phenomena","6","Bishop's ring is caused by diffraction of light by fine particles of:","Water","Dust","Ice","","B) Dust","VERIFIED","Bishop's ring is produced by fine volcanic dust."
"met-10 Optical Phenomena","7","A superior mirage occurs with a marked:","Lapse","Isothermal layer","Inversion","","C) Inversion","VERIFIED","Superior mirage (image above object) forms in a temperature inversion."
"met-10 Optical Phenomena","8","An inferior mirage occurs when there is a marked:","Lapse (steep)","Isothermal layer","Inversion","","A) Lapse (steep)","VERIFIED","Inferior mirage (image below) forms over a strongly heated surface (steep lapse)."
"met-10 Optical Phenomena","9","A corona is formed by ____ of light:","Refraction","Diffraction","Scattering","","B) Diffraction","VERIFIED","Corona = diffraction by small droplets."
"met-10 Optical Phenomena","10","A corona forms when light passes through:","Mist only","Fog only","Small water/ice particles only","Any of these","D) Any of these","VERIFIED","Any small droplets/particles (mist, fog, thin cloud) can produce a corona."
"met-10 Optical Phenomena","11","A halo is produced by:","Refraction","Diffraction","Scattering","","A) Refraction","VERIFIED","Halo = refraction through ice crystals."
"met-10 Optical Phenomena","12","A halo is produced when light passes through:","Water particles","Ice crystals","Both","","B) Ice crystals","VERIFIED","Halo requires ice crystals."
"met-10 Optical Phenomena","13","A halo occurs in which cloud?","Altostratus (AS)","Nimbostratus (NS)","Cirrostratus (CS)","","C) Cirrostratus (CS)","VERIFIED","Halo forms in cirrostratus."
"met-10 Optical Phenomena","14","A (common) halo is a luminous ring of radius:","32°","22°","42°","","B) 22°","VERIFIED","The common halo has a 22° radius."
"met-10 Optical Phenomena","15","A halo signifies a predominance in the cloud of:","Supercooled water drops","Ice crystals","Both","","B) Ice crystals","VERIFIED","Halo indicates ice crystals."
